employee_id,role,skill_level,gender,age_group,job_level,company_scope,work_location,remote_policy,remote_access_score,remote_flexibility_score,compensation_satisfaction,career_growth_score,work_life_balance_score,sense_of_belonging_score,team_cohesion_score,values_alignment_score,engagement_score,manager_support_score,communication_effectiveness,participates_in_team_events,uses_collab_tools_frequently,stress_level_score,family_life_impact_score,daily_work_hours,weekly_work_hours,overtime_hours_weekly,commute_time_minutes,promotion_received,salary_increase_received,tenure_years,tenure_level,intention_to_leave,actual_turnover,joined_remote_company,current_monthly_salary_eur,expected_monthly_salary_eur,international_offer_salary_eur,salary_gap_eur,salary_gap_percent,benefits_satisfaction_score,health_benefits_score,pension_benefits_score,bonus_satisfaction_score,training_budget_satisfaction,perceived_international_pay_advantage,long_term_stay_intention_score
EMP069,Research Specialist,Senior,Female,20-29,Senior,International,Lithuania,Full Remote,4.0,4.7,4.4,3.7,4.9,3.1,4.2,3.5,4.2,4.5,3.0,No,Yes,2.7,4.0,7.8,38.9,0.0,9.0,No,No,3.9,1-3 years,No,Stayed,No,3765.38,4037.47,4764.52,999.14,26.5,3.8,5.0,3.5,4.1,3.5,4.3,5.0
EMP070,Energy Analyst,Expert,Female,40-49,Junior,International,Lithuania,Mostly On-site,2.5,2.6,4.4,2.4,2.9,3.5,3.7,3.6,4.1,3.4,3.8,Yes,No,3.7,2.9,10.3,51.3,11.3,42.0,No,No,3.5,1-3 years,No,Left,No,1607.92,2009.35,2083.11,475.19,29.6,4.5,4.8,3.4,3.7,3.4,3.4,4.7
EMP071,Project Manager,Mid,Female,50+,Senior,Local,Lithuania,Mostly On-site,1.5,2.0,2.3,2.7,2.2,3.0,4.3,3.1,3.8,4.7,3.3,No,No,4.3,2.1,8.3,41.4,1.4,65.0,No,No,3.2,1-3 years,Yes,Stayed,No,4797.23,5319.62,5779.05,981.82,20.5,3.5,2.9,4.0,4.0,1.6,5.0,4.1
EMP072,Research Specialist,Mid,Male,40-49,Junior,International,Lithuania,Full Remote,4.0,4.3,5.0,1.6,4.3,2.9,3.4,2.9,2.9,3.6,3.4,Yes,Yes,2.7,3.8,8.3,41.6,1.6,6.0,No,No,4.4,4-6 years,No,Stayed,No,1466.89,1528.79,1911.17,444.27,30.3,4.3,4.3,2.5,3.7,4.8,3.3,4.9
EMP073,Project Manager,Senior,Male,20-29,Mid,International,Lithuania,Full Remote,4.2,4.0,3.6,3.6,3.4,1.8,3.9,2.7,3.6,4.6,3.6,Yes,Yes,2.3,3.8,8.6,42.9,2.9,14.0,Yes,No,2.0,1-3 years,No,Stayed,No,3378.21,3955.2,4110.84,732.63,21.7,3.9,4.0,4.3,3.8,4.2,4.1,5.0
EMP074,Research Specialist,Senior,Female,40-49,Senior,Local,Lithuania,Mostly On-site,2.2,3.1,2.7,4.6,2.5,4.7,3.4,3.3,3.9,3.6,4.5,Yes,No,4.8,2.8,8.4,41.8,1.8,70.0,Yes,No,4.7,4-6 years,No,Left,No,4756.45,6187.02,6321.38,1564.92,32.9,5.0,1.5,4.0,1.5,2.8,4.2,4.5
EMP075,Energy Analyst,Senior,Male,30-39,Mid,Local,Outside Lithuania,Mostly On-site,1.9,1.4,3.0,3.8,2.2,4.4,3.4,3.1,3.5,3.9,3.2,Yes,Yes,4.7,1.4,6.2,30.8,0.0,48.0,No,Yes,5.0,4-6 years,No,Left,Yes,2746.82,3125.81,3834.91,1088.09,39.6,3.5,3.9,2.7,2.3,2.2,5.0,4.2
EMP076,Engineer,Expert,Male,20-29,Mid,International,Outside Lithuania,Mostly On-site,1.9,1.8,2.9,2.2,1.6,2.7,3.8,4.4,3.5,3.1,3.9,Yes,Yes,1.3,2.7,7.8,39.0,0.0,60.0,No,Yes,4.3,4-6 years,Yes,Stayed,No,2935.88,3082.03,3569.46,633.58,21.6,3.9,3.9,3.2,4.3,3.5,4.2,3.9
EMP077,Research Specialist,Senior,Male,20-29,Junior,International,Lithuania,Mostly On-site,2.2,1.6,3.3,1.7,1.0,4.7,4.4,5.0,3.3,3.5,3.3,Yes,Yes,5.0,1.0,6.0,30.0,0.0,67.0,No,No,3.9,1-3 years,No,Stayed,No,1511.41,1780.98,1837.85,326.44,21.6,3.5,2.5,4.1,3.1,4.5,4.1,5.0
EMP078,Energy Analyst,Mid,Female,30-39,Manager,International,Lithuania,Full Remote,4.1,4.6,1.4,2.1,5.0,2.0,3.2,3.9,3.3,3.6,4.3,Yes,Yes,2.1,5.0,9.4,47.0,7.0,9.0,Yes,Yes,5.4,4-6 years,No,Stayed,No,4158.79,5033.49,5430.86,1272.06,30.6,3.9,4.5,4.1,3.4,4.3,2.4,4.2
EMP079,Energy Analyst,Expert,Female,20-29,Mid,Local,Lithuania,Hybrid,3.4,3.6,4.0,3.5,3.5,3.1,4.0,3.8,3.9,3.2,4.4,Yes,Yes,1.9,3.3,6.0,30.0,0.0,33.0,No,No,6.0,4-6 years,No,Left,Yes,2777.99,3270.08,4025.8,1247.81,44.9,3.1,4.1,3.3,1.3,2.9,3.1,5.0
EMP080,Energy Analyst,Senior,Male,30-39,Mid,International,Lithuania,Full Remote,4.3,4.7,3.0,5.0,4.0,2.3,3.2,4.0,4.6,4.0,2.7,Yes,Yes,2.2,4.4,7.0,35.0,0.0,10.0,No,Yes,1.7,1-3 years,No,Stayed,No,3081.01,3727.63,3770.79,689.78,22.4,4.2,4.7,3.3,4.9,3.9,5.0,4.8
EMP081,Project Manager,Senior,Male,40-49,Mid,Local,Lithuania,Mostly On-site,1.5,2.8,4.4,3.0,1.8,3.8,3.7,2.9,4.0,2.8,2.0,Yes,Yes,3.5,2.4,9.5,47.7,7.7,12.0,No,Yes,3.0,1-3 years,No,Left,Yes,2999.89,3482.42,3855.07,855.18,28.5,2.4,3.4,3.2,3.5,3.4,3.7,4.2
EMP082,Research Specialist,Mid,Male,50+,Mid,Local,Lithuania,Hybrid,3.4,3.9,3.5,3.0,2.9,4.5,4.2,3.3,3.8,3.9,3.0,Yes,Yes,3.6,3.1,7.4,37.0,0.0,16.0,No,Yes,3.4,1-3 years,No,Stayed,No,3005.89,3076.62,4421.36,1415.47,47.1,4.3,3.3,3.1,3.6,2.9,3.7,5.0
EMP083,Project Manager,Senior,Female,20-29,Senior,Local,Lithuania,Hybrid,3.5,3.8,2.9,2.8,2.9,3.8,3.7,4.0,3.2,4.1,3.2,Yes,Yes,3.2,3.7,8.7,43.6,3.6,21.0,No,Yes,3.6,1-3 years,No,Stayed,No,5079.88,5724.27,6627.75,1547.87,30.5,3.6,2.4,4.2,2.6,2.3,3.9,4.3
EMP084,Energy Analyst,Mid,Female,20-29,Senior,International,Lithuania,Full Remote,4.3,4.6,3.3,2.7,3.7,2.4,3.2,2.4,3.4,1.7,3.4,No,Yes,2.6,4.3,9.1,45.3,5.3,0.0,No,No,3.8,1-3 years,No,Stayed,No,3497.51,4197.96,3999.01,501.5,14.3,4.4,4.6,3.0,5.0,3.8,2.8,4.9
EMP085,Project Manager,Expert,Female,40-49,Mid,Local,Lithuania,Hybrid,3.7,3.5,5.0,3.1,3.1,2.8,5.0,3.6,3.2,2.5,2.9,Yes,No,3.6,3.5,8.7,43.7,3.7,49.0,Yes,Yes,3.1,1-3 years,No,Stayed,No,2738.73,3162.35,3534.36,795.63,29.1,2.3,3.8,2.8,2.3,2.9,3.3,4.8
EMP086,Research Specialist,Mid,Female,30-39,Senior,Local,Lithuania,Hybrid,2.4,3.9,2.0,3.2,2.7,2.5,4.6,4.3,4.0,3.7,4.4,No,Yes,2.7,4.0,8.2,40.9,0.9,33.0,No,Yes,2.6,1-3 years,No,Stayed,No,4579.76,6239.82,6544.97,1965.21,42.9,2.2,3.6,2.9,2.4,2.3,3.7,4.1
EMP087,Engineer,Senior,Female,40-49,Mid,Local,Lithuania,Mostly On-site,2.5,3.0,3.3,2.3,2.9,3.8,3.1,3.2,3.4,3.2,2.6,Yes,Yes,3.7,2.6,6.9,34.3,0.0,63.0,No,Yes,5.4,4-6 years,No,Stayed,No,3255.66,3688.1,4654.96,1399.3,43.0,4.2,3.7,3.4,2.3,3.7,4.1,4.2
EMP088,Energy Analyst,Senior,Male,20-29,Mid,Local,Lithuania,Hybrid,3.6,3.4,2.2,3.0,3.3,3.6,3.6,4.3,3.4,3.2,4.1,No,No,1.7,3.9,8.3,41.3,1.3,41.0,No,No,5.2,4-6 years,No,Left,No,2418.84,2750.49,3832.57,1413.73,58.4,5.0,3.4,2.8,2.9,3.8,3.9,4.1
EMP089,Research Specialist,Senior,Male,30-39,Manager,International,Lithuania,Mostly On-site,2.4,3.3,3.8,4.2,2.9,3.5,4.1,4.8,2.8,3.0,3.3,Yes,Yes,2.2,3.8,9.5,47.4,7.4,23.0,No,Yes,2.3,1-3 years,No,Stayed,No,6055.98,6185.12,7038.92,982.94,16.2,4.5,3.6,4.4,4.1,4.2,3.8,5.0
EMP090,Engineer,Senior,Female,30-39,Senior,Local,Lithuania,Hybrid,2.9,3.6,4.7,3.7,2.4,3.8,3.9,3.6,3.6,2.5,3.3,Yes,Yes,2.9,3.7,9.5,47.4,7.4,5.0,No,Yes,3.6,1-3 years,No,Stayed,No,4702.84,6092.8,6380.53,1677.7,35.7,3.1,3.9,3.5,2.1,2.0,3.4,5.0
EMP091,Energy Analyst,Senior,Male,20-29,Senior,International,Lithuania,Full Remote,4.2,4.8,3.4,3.8,4.1,3.2,1.9,2.9,3.2,2.6,3.7,Yes,Yes,2.6,4.2,9.2,46.0,6.0,0.0,Yes,No,4.8,4-6 years,No,Left,No,4394.55,5453.17,5251.66,857.11,19.5,4.4,4.5,4.5,4.0,4.8,3.0,5.0
EMP092,Project Manager,Mid,Male,20-29,Manager,Local,Lithuania,Mostly On-site,2.0,2.2,2.3,1.9,1.5,2.7,3.8,2.9,3.5,3.5,2.2,Yes,Yes,2.8,3.0,8.3,41.5,1.5,42.0,No,Yes,2.3,1-3 years,Yes,Stayed,No,5365.38,5955.62,7590.13,2224.76,41.5,2.2,2.1,3.2,2.8,2.7,3.6,3.3
EMP093,Engineer,Senior,Male,40-49,Senior,International,Lithuania,Mostly On-site,3.3,2.6,4.0,1.7,2.9,3.9,3.7,4.0,4.8,3.6,4.1,No,Yes,4.0,2.4,9.2,46.1,6.1,48.0,No,No,1.4,1-3 years,No,Stayed,No,3399.4,4287.61,3297.97,-101.43,-3.0,4.2,2.9,3.0,3.6,3.8,3.6,5.0
EMP094,Research Specialist,Senior,Female,30-39,Manager,Local,Outside Lithuania,Hybrid,3.9,3.9,5.0,2.6,3.3,3.7,4.3,4.5,3.7,3.8,3.5,No,Yes,3.9,3.8,7.6,38.2,0.0,37.0,No,Yes,3.9,1-3 years,No,Stayed,No,5302.54,5792.55,6095.37,792.83,15.0,3.8,2.8,3.4,3.5,3.2,4.2,4.1
EMP095,Energy Analyst,Expert,Other/Prefer not to say,40-49,Senior,Local,Lithuania,Mostly On-site,1.7,1.7,5.0,2.7,3.2,2.8,4.1,3.7,3.0,3.2,3.6,Yes,Yes,2.8,2.2,8.6,42.8,2.8,42.0,No,No,3.9,1-3 years,No,Stayed,No,4818.48,4874.89,7074.28,2255.8,46.8,5.0,3.9,4.3,3.9,1.0,4.6,4.6
EMP096,Research Specialist,Expert,Male,30-39,Senior,Local,Outside Lithuania,Hybrid,3.3,4.5,1.0,2.7,4.2,4.1,4.2,3.5,3.9,3.9,3.0,Yes,Yes,2.4,4.4,7.7,38.3,0.0,30.0,No,No,1.7,1-3 years,Yes,Left,Yes,4360.81,4749.7,5948.48,1587.66,36.4,4.1,3.5,3.0,4.4,3.0,4.8,4.0
EMP097,Engineer,Mid,Female,40-49,Mid,Local,Lithuania,Hybrid,2.5,3.4,3.9,2.6,3.7,4.5,3.9,4.2,4.2,3.3,4.2,No,No,2.4,3.1,7.7,38.7,0.0,30.0,Yes,Yes,4.0,4-6 years,Yes,Stayed,No,3394.02,3786.85,4525.66,1131.64,33.3,2.7,3.5,4.3,1.9,2.2,4.0,3.6
EMP098,Engineer,Senior,Female,30-39,Junior,Local,Lithuania,Hybrid,3.5,4.2,3.1,4.7,3.0,2.7,4.4,3.3,3.8,3.0,3.4,Yes,Yes,2.4,4.3,7.8,39.0,0.0,19.0,No,Yes,4.6,4-6 years,No,Stayed,No,1706.49,1997.4,1662.35,-44.13,-2.6,2.6,4.1,3.9,2.7,3.0,3.9,5.0
EMP099,Energy Analyst,Senior,Male,40-49,Senior,International,Lithuania,Full Remote,5.0,4.6,3.8,3.1,3.9,3.5,2.5,2.6,3.1,3.4,4.4,Yes,Yes,2.9,4.6,8.1,40.7,0.7,4.0,No,No,2.4,1-3 years,No,Stayed,No,4007.08,4767.8,4391.66,384.58,9.6,4.4,3.6,2.8,3.7,4.8,3.6,5.0
EMP100,Energy Analyst,Mid,Male,40-49,Manager,International,Lithuania,Full Remote,4.8,4.1,3.9,3.5,4.6,2.9,2.7,2.5,3.6,4.3,3.3,Yes,No,3.1,3.5,8.3,41.3,1.3,0.0,No,Yes,2.7,1-3 years,No,Left,Yes,4778.03,5425.33,5210.74,432.71,9.1,3.6,4.8,3.1,5.0,3.8,4.2,5.0
EMP101,Engineer,Mid,Male,20-29,Mid,International,Lithuania,Full Remote,4.6,4.5,3.2,3.1,3.1,2.9,3.9,3.6,3.1,3.2,4.8,Yes,No,3.6,3.8,8.3,41.7,1.7,6.0,No,Yes,6.2,4-6 years,No,Stayed,No,3372.36,4297.92,4185.58,813.21,24.1,4.4,4.3,3.5,3.6,3.8,2.6,4.8
EMP102,Engineer,Mid,Female,50+,Mid,International,Lithuania,Hybrid,4.6,3.5,2.7,2.6,4.2,5.0,3.5,3.5,4.2,3.8,3.8,Yes,Yes,2.2,2.6,8.0,39.8,0.0,28.0,No,No,0.5,<1 year,No,Left,Yes,3485.56,4046.92,3636.96,151.4,4.3,2.2,4.4,3.9,3.1,3.7,3.0,4.2
EMP103,Energy Analyst,Mid,Female,40-49,Senior,International,Lithuania,Hybrid,4.7,3.5,3.9,3.3,3.7,3.8,3.8,3.5,3.5,3.7,3.1,No,Yes,3.6,2.3,9.1,45.4,5.4,25.0,No,Yes,4.9,4-6 years,No,Stayed,No,3746.18,4672.27,4717.23,971.05,25.9,3.5,4.5,3.6,3.7,4.2,2.8,5.0
EMP104,Energy Analyst,Senior,Male,20-29,Executive,International,Lithuania,Hybrid,4.0,4.1,1.4,2.1,4.3,3.7,3.6,2.9,2.8,2.1,3.5,No,Yes,3.0,3.3,8.0,40.0,0.0,24.0,Yes,Yes,3.6,1-3 years,No,Left,No,8758.29,11393.77,9185.79,427.51,4.9,4.7,4.6,3.3,4.0,4.0,3.8,4.9
EMP105,Research Specialist,Mid,Female,40-49,Junior,Local,Lithuania,Mostly On-site,2.6,1.9,4.1,1.5,2.1,3.0,4.5,3.2,2.9,3.7,3.3,Yes,No,3.4,1.9,9.4,47.2,7.2,45.0,Yes,Yes,1.5,1-3 years,No,Stayed,No,1731.36,2018.92,2607.92,876.56,50.6,3.4,3.3,2.7,2.8,3.2,4.5,3.4
EMP106,Project Manager,Senior,Male,30-39,Senior,International,Lithuania,Full Remote,3.5,4.1,2.4,2.1,3.8,2.5,3.3,3.7,3.9,3.2,3.8,Yes,Yes,1.6,4.4,8.3,41.7,1.7,5.0,Yes,No,3.8,1-3 years,Yes,Stayed,No,5825.99,6934.93,5539.15,-286.84,-4.9,4.1,3.9,3.7,3.3,4.4,2.4,4.6
EMP107,Engineer,Mid,Male,30-39,Mid,Local,Lithuania,Hybrid,4.1,3.2,1.0,3.6,3.6,3.7,4.0,2.9,2.9,3.8,4.5,Yes,Yes,3.1,2.7,8.1,40.6,0.6,21.0,No,No,3.3,1-3 years,No,Stayed,No,3358.06,3806.56,4882.06,1524.0,45.4,5.0,4.2,4.1,2.3,3.4,5.0,3.8
EMP108,Project Manager,Mid,Male,20-29,Executive,Local,Lithuania,Mostly On-site,3.0,2.8,2.2,3.3,2.5,3.7,3.4,2.3,2.7,3.7,3.2,Yes,No,2.9,3.2,7.6,38.1,0.0,68.0,No,No,2.5,1-3 years,No,Left,Yes,7720.98,8201.02,11388.61,3667.63,47.5,2.1,3.6,3.9,3.4,1.5,3.8,3.4
EMP109,Research Specialist,Senior,Female,20-29,Executive,International,Lithuania,Full Remote,4.5,4.4,4.2,3.3,4.5,3.8,2.3,3.9,2.5,3.0,3.7,Yes,Yes,3.1,3.9,8.8,44.0,4.0,9.0,Yes,No,5.4,4-6 years,No,Left,Yes,8310.51,9161.62,9391.88,1081.37,13.0,4.1,3.8,4.1,4.6,4.5,3.7,5.0
EMP110,Research Specialist,Senior,Male,20-29,Senior,International,Lithuania,Full Remote,4.7,4.8,1.5,3.2,4.6,2.2,2.4,3.8,3.1,3.7,3.5,Yes,Yes,2.0,4.4,7.7,38.5,0.0,12.0,No,No,2.9,1-3 years,No,Stayed,No,4383.96,5637.15,5475.17,1091.2,24.9,4.1,4.3,3.2,3.5,3.9,3.5,4.2
EMP111,Energy Analyst,Mid,Female,20-29,Mid,International,Lithuania,Full Remote,4.4,4.4,3.0,2.1,4.6,2.3,2.6,3.4,2.5,3.1,1.5,Yes,No,2.4,4.1,7.5,37.6,0.0,0.0,No,Yes,4.3,4-6 years,No,Stayed,No,2639.06,2932.07,3772.07,1133.0,42.9,3.8,4.4,3.0,3.1,4.5,4.4,3.3
EMP112,Engineer,Mid,Female,40-49,Executive,International,Outside Lithuania,Full Remote,5.0,4.5,2.7,2.4,4.4,2.1,4.4,2.8,3.5,3.6,2.9,No,Yes,3.0,4.2,8.4,42.1,2.1,2.0,No,No,4.1,4-6 years,No,Stayed,No,8643.88,9933.45,11166.96,2523.08,29.2,3.7,3.6,3.4,4.0,4.5,2.2,4.5
EMP113,Energy Analyst,Expert,Female,30-39,Junior,Local,Lithuania,Mostly On-site,1.0,1.3,2.4,2.0,1.8,3.7,4.0,4.2,2.6,3.9,3.1,No,Yes,4.1,1.7,8.0,40.1,0.1,53.0,No,Yes,3.4,1-3 years,Yes,Stayed,No,1791.18,1942.84,2552.84,761.67,42.5,2.8,2.7,3.0,2.8,4.5,5.0,3.4
EMP114,Project Manager,Expert,Male,30-39,Senior,Local,Lithuania,Mostly On-site,1.9,2.0,3.1,4.8,2.2,2.8,3.8,2.9,3.5,2.9,5.0,Yes,Yes,3.9,2.3,7.4,36.8,0.0,50.0,Yes,Yes,4.3,4-6 years,Yes,Stayed,No,4944.56,5064.2,7219.57,2275.01,46.0,3.6,1.6,2.6,3.7,2.3,4.4,4.7
EMP115,Engineer,Senior,Female,30-39,Executive,International,Lithuania,Hybrid,3.3,3.6,4.2,2.8,4.1,4.0,3.4,3.9,3.7,3.4,3.7,Yes,Yes,2.1,3.8,8.3,41.4,1.4,15.0,No,Yes,8.4,7+ years,No,Left,Yes,6702.73,7862.0,8906.57,2203.84,32.9,4.4,3.8,3.9,2.9,3.2,4.5,5.0
EMP116,Research Specialist,Senior,Male,30-39,Junior,Local,Lithuania,Mostly On-site,1.9,1.4,3.1,2.1,2.0,3.6,4.0,3.6,2.5,4.0,3.2,No,Yes,3.7,1.8,10.0,50.1,10.1,52.0,No,Yes,3.9,1-3 years,No,Left,No,2343.34,2753.59,3993.44,1650.09,70.4,3.1,2.8,3.9,2.6,3.3,3.9,2.8
EMP117,Energy Analyst,Senior,Female,30-39,Mid,Local,Lithuania,Mostly On-site,2.2,1.8,1.2,4.1,2.2,4.4,3.4,3.2,4.3,5.0,4.5,No,No,4.0,2.0,9.6,48.0,8.0,5.0,No,Yes,2.5,1-3 years,No,Left,No,3013.33,3033.64,5299.64,2286.31,75.9,3.5,3.4,3.3,3.1,2.5,4.6,2.8
EMP118,Research Specialist,Mid,Male,40-49,Mid,International,Lithuania,Full Remote,4.5,5.0,3.5,2.7,4.9,2.7,3.7,2.5,3.7,3.5,2.7,Yes,Yes,1.4,4.8,8.1,40.7,0.7,2.0,No,No,4.8,4-6 years,No,Stayed,No,3295.13,3514.35,4376.63,1081.51,32.8,3.8,4.2,3.8,4.9,3.8,3.4,4.1
EMP119,Energy Analyst,Senior,Other/Prefer not to say,40-49,Junior,International,Lithuania,Mostly On-site,1.9,2.5,4.8,2.2,2.5,3.5,5.0,3.9,3.6,3.4,3.1,Yes,Yes,3.6,1.9,8.3,41.3,1.3,27.0,No,Yes,2.2,1-3 years,No,Left,Yes,1419.38,1566.15,1657.9,238.52,16.8,3.4,3.9,3.9,4.6,4.8,3.1,5.0
EMP120,Research Specialist,Expert,Male,20-29,Mid,International,Lithuania,Hybrid,3.6,3.7,3.4,2.2,2.8,3.8,3.5,3.5,3.4,4.3,3.1,Yes,Yes,2.3,3.8,7.9,39.5,0.0,34.0,No,No,5.3,4-6 years,No,Stayed,No,3074.4,3945.09,3552.49,478.09,15.6,3.5,4.4,3.3,3.7,3.8,3.9,3.7
EMP121,Energy Analyst,Senior,Male,20-29,Mid,Local,Lithuania,Mostly On-site,1.2,1.5,3.7,2.4,1.4,3.3,3.6,3.7,3.5,4.9,1.7,No,Yes,3.3,1.4,8.3,41.6,1.6,47.0,No,Yes,2.9,1-3 years,No,Stayed,No,2670.52,3108.16,4091.58,1421.06,53.2,4.2,4.3,4.4,2.8,4.1,5.0,4.6
EMP122,Research Specialist,Expert,Male,20-29,Mid,International,Lithuania,Mostly On-site,1.5,2.9,4.5,4.2,2.2,2.9,2.4,2.5,3.6,4.5,3.7,No,Yes,3.4,1.9,8.4,41.9,1.9,28.0,No,No,2.3,1-3 years,No,Left,No,3041.17,2858.9,3604.64,563.47,18.5,4.3,4.9,3.7,3.9,4.3,5.0,5.0
EMP123,Project Manager,Mid,Female,30-39,Senior,International,Lithuania,Hybrid,3.7,4.1,3.4,4.3,3.3,4.0,3.6,2.5,3.5,2.8,3.1,Yes,No,2.9,4.0,7.7,38.5,0.0,39.0,No,No,3.0,1-3 years,No,Stayed,No,4865.55,5888.99,6960.72,2095.18,43.1,3.3,4.3,4.8,4.6,5.0,3.8,4.6
EMP124,Energy Analyst,Mid,Male,20-29,Mid,International,Lithuania,Full Remote,4.5,3.8,3.9,2.8,4.2,2.7,3.6,3.3,2.6,4.2,3.3,Yes,Yes,2.7,3.4,7.0,34.8,0.0,2.0,No,Yes,6.7,4-6 years,No,Stayed,No,2848.03,3055.25,3482.21,634.17,22.3,4.2,4.1,3.4,3.9,4.0,2.6,5.0
EMP125,Energy Analyst,Expert,Male,40-49,Mid,International,Lithuania,Full Remote,4.3,4.4,3.3,5.0,4.3,3.1,2.9,3.7,3.4,4.8,3.5,Yes,No,2.0,4.6,8.1,40.6,0.6,0.0,Yes,Yes,5.6,4-6 years,No,Stayed,No,2500.65,3283.54,3180.64,679.99,27.2,4.8,4.0,5.0,4.4,4.5,4.7,5.0
EMP126,Research Specialist,Senior,Male,40-49,Senior,Local,Lithuania,Hybrid,3.3,4.2,2.5,3.5,3.9,3.6,4.0,4.0,4.2,3.5,4.6,No,No,2.8,3.6,7.5,37.7,0.0,17.0,No,Yes,5.5,4-6 years,No,Stayed,No,4174.68,5134.05,5495.08,1320.4,31.6,3.7,3.0,3.2,3.7,3.2,5.0,3.8
EMP127,Energy Analyst,Expert,Male,40-49,Mid,Local,Lithuania,Mostly On-site,1.9,1.5,2.9,4.4,2.5,4.8,3.2,3.8,3.7,3.7,3.0,Yes,Yes,4.1,1.3,6.8,34.0,0.0,26.0,No,No,1.9,1-3 years,Yes,Left,Yes,2948.68,3392.53,3655.27,706.59,24.0,3.1,3.0,3.5,3.5,3.5,4.5,5.0
EMP128,Energy Analyst,Expert,Male,20-29,Junior,Local,Outside Lithuania,Mostly On-site,2.7,3.0,4.4,3.6,2.7,4.1,3.5,3.0,3.8,2.9,4.0,No,Yes,3.7,1.8,10.8,54.0,14.0,14.0,No,No,5.8,4-6 years,No,Stayed,No,1712.3,1843.28,1743.11,30.8,1.8,4.3,3.5,3.8,2.5,3.4,5.0,5.0
EMP129,Engineer,Senior,Male,20-29,Senior,International,Lithuania,Full Remote,4.5,4.2,2.9,1.4,3.7,4.5,2.0,2.4,2.8,3.6,3.4,No,Yes,1.5,4.7,7.7,38.4,0.0,9.0,No,No,5.3,4-6 years,No,Stayed,No,4262.51,5122.9,5533.81,1271.29,29.8,4.8,3.9,4.3,3.0,4.3,4.6,5.0
EMP130,Energy Analyst,Mid,Male,20-29,Senior,International,Lithuania,Hybrid,4.0,3.5,1.6,2.5,4.3,3.6,2.8,4.9,3.8,4.0,2.9,Yes,Yes,3.2,3.3,9.1,45.3,5.3,38.0,No,Yes,3.6,1-3 years,No,Left,Yes,3443.76,3898.28,4013.12,569.35,16.5,4.6,3.7,4.9,2.9,4.1,3.2,5.0
EMP131,Energy Analyst,Senior,Male,40-49,Senior,International,Lithuania,Hybrid,3.2,4.1,2.8,2.9,4.0,3.9,3.5,3.3,4.1,3.5,3.9,Yes,Yes,2.5,5.0,8.4,42.2,2.2,56.0,No,Yes,2.2,1-3 years,No,Stayed,No,4249.55,5806.2,4315.6,66.05,1.6,4.7,4.3,4.3,2.7,4.1,2.9,5.0
EMP132,Engineer,Mid,Male,30-39,Executive,International,Lithuania,Full Remote,4.5,4.0,2.9,2.6,4.8,2.0,2.3,2.4,4.4,3.8,4.1,No,No,3.4,2.6,7.7,38.3,0.0,4.0,No,No,2.6,1-3 years,No,Stayed,No,8262.47,10618.12,9454.64,1192.17,14.4,3.6,3.8,3.3,5.0,4.6,3.7,4.1
EMP133,Engineer,Senior,Female,30-39,Senior,International,Outside Lithuania,Full Remote,3.8,4.5,3.8,3.5,3.6,2.1,2.3,2.9,3.1,4.6,3.2,Yes,Yes,2.0,3.8,9.5,47.7,7.7,7.0,No,No,3.1,1-3 years,No,Stayed,No,4586.67,5504.88,4891.13,304.46,6.6,4.7,4.2,5.0,3.7,2.6,4.7,5.0
EMP134,Research Specialist,Mid,Male,20-29,Junior,Local,Lithuania,Hybrid,3.5,3.8,2.6,2.3,3.3,4.3,3.8,2.9,3.7,3.7,2.6,Yes,Yes,2.4,3.8,9.0,45.1,5.1,29.0,Yes,Yes,4.2,4-6 years,No,Stayed,No,2111.37,2658.25,3399.14,1287.77,61.0,2.7,3.2,2.8,2.7,3.0,4.7,3.0
EMP135,Engineer,Expert,Female,40-49,Executive,International,Lithuania,Mostly On-site,2.7,3.4,1.9,1.4,3.1,3.4,4.3,3.9,4.4,3.3,4.4,No,Yes,2.9,3.7,8.5,42.6,2.6,25.0,No,Yes,3.5,1-3 years,Yes,Stayed,No,7328.47,8195.24,7984.32,655.85,8.9,3.5,3.9,3.9,5.0,3.8,4.6,3.1
EMP136,Research Specialist,Senior,Male,50+,Mid,Local,Lithuania,Hybrid,3.8,4.5,1.2,2.5,3.4,3.4,4.4,3.7,3.3,3.2,4.0,No,Yes,3.2,3.6,7.9,39.5,0.0,17.0,No,No,7.0,4-6 years,Yes,Stayed,No,3102.79,3769.06,4949.39,1846.6,59.5,2.7,3.4,3.5,3.0,3.4,3.7,2.1
EMP137,Research Specialist,Senior,Male,20-29,Manager,Local,Lithuania,Hybrid,3.9,3.1,4.0,1.6,3.4,4.4,3.8,5.0,3.1,2.8,2.0,Yes,Yes,2.4,2.9,8.6,43.2,3.2,23.0,No,No,3.6,1-3 years,No,Left,No,4547.43,4389.84,5953.87,1406.44,30.9,3.2,4.0,3.4,2.9,2.5,3.4,4.2
EMP138,Engineer,Mid,Female,30-39,Manager,Local,Lithuania,Mostly On-site,1.0,1.9,2.6,2.9,1.7,3.7,2.9,3.6,3.7,4.1,3.7,No,Yes,4.9,1.1,9.2,46.1,6.1,54.0,No,No,4.9,4-6 years,Yes,Left,No,5186.99,5939.01,7236.45,2049.47,39.5,2.5,2.6,3.4,3.0,4.6,4.0,3.0
